reservationId,tableId,userEmail,startTime,endTime
7e9736f0-efaa-4b95-ba78-102eef893542,1,test@example.com,2024-11-14T04:25:35.087Z,2024-11-14T06:25:35.087Z
7787d85c-9284-4393-ae07-9829904b4cfd,2,test@example.com,2024-11-14T04:25:48.613Z,2024-11-14T06:25:48.613Z
cb947e74-9491-44f3-a383-aed009bdf27a,3,test@example.com,2024-11-14T04:25:52.055Z,2024-11-14T06:25:52.055Z
18d9cc03-cb33-44d1-9ada-4f311dcbe470,4,test@example.com,2024-11-14T04:26:00.975Z,2024-11-14T06:26:00.975Z
139559eb-b40b-49a9-9edb-5556534f3b6c,5,test@example.com,2024-11-14T04:26:03.694Z,2024-11-14T06:26:03.694Z
03b07d3e-d172-463d-aaf9-e2a0d1536e4d,7,test@example.com,2024-11-14T04:26:07.945Z,2024-11-14T06:26:07.945Z
5b5ee471-3005-4a55-90b7-534a3b523182,6,test@example.com,2024-11-14T04:26:09.920Z,2024-11-14T06:26:09.920Z
b11f34bb-9a0a-447f-b58c-f08bcb0b5d6c,8,user1@example.com,2024-11-14T17:00:00,2024-11-14T19:00:00
9347bb41-7e18-4959-a77e-57eed64fbcb6,29,test@example.com,2024-11-14T17:00:00,2024-11-14T19:00:00
94cdd314-c822-4070-8ef1-ccb933136f12,8,user1@example.com,2024-11-14T17:00:00,2024-11-14T19:00:00
f4dcae8a-d2dd-40f4-8a8e-49effeb06d89,29,test@example.com,2024-11-14T17:00:00,2024-11-14T19:00:00
927a132c-01bf-4635-ba88-e59384adbe91,1,oij@gmail.com,2024-11-14T17:00:00,2024-11-14T19:00:00
